Story,Works with,No.of actions,Author
Expel Alert to Jira Ticket Automation,"Expel, Jira Software",23,Shasheen Bandodkar
API Inventory Dashboard with Traceable,Traceable.ai,27,Nandita Joshi
Get records and combine associated artifacts in Tines,Tines,17,Eoin Magner
Analyze Anvilogic events of interest,"Anvilogic, Splunk",27,Chris Burkhart
RegScale evidence collection for external evidence managers,RegScale,11,Chris Knoblauch
Security Inbox Categoriser with Unit Testing,null,9,Hela Lucas
Backup Tines tenant data to AWS S3,"AWS, Tines",41,Haley Kidd
"Synchronize MFA group memberships in Okta, Duo & Jira","Duo Security, Jira Service Management, Okta",62,Caleb Williams
Create Tines case from the Risk Register,Tines,4,Conor Dunne
List EC2 instances in AWS,AWS,11,Michael Tolan
Manage SSH users via Ansible,Ansible,6,Conor Dunne
Search Microsoft sign in logs,Microsoft,8,null
Analyze URLs in URLScan,URLScan.io,12,null
Add a domain to a blocklist in Zscaler,"Slack, Zscaler",15,Conor Dunne
Implement pagination with these techniques,"Jira Software, Notion, Slack, Tenable Vulnerability Management",32,null
Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
Backup Tines Stories to GitHub,GitHub,22,null
Bootcamp - Tines Advanced,null,12,null
Send KnowBe4 training reminders via Slack,"Knowbe4, Slack",23,null
Analyze email headers for IPs and spoofing,null,14,null
Run a CrowdStrike Real Time Response command,CrowdStrike,11,null
Ingest Tines audit logs into Splunk,Splunk,9,null
Monitor security advisories,"Cisco, Palo Alto Networks",15,null
Bootcamp - AI in Tines,null,2,null
Geo-lookup IP addresses in bulk,null,8,null
Check for new CISA vulnerabilities,"Microsoft Teams, Tenable Vulnerability Management",6,null
Create Jira issues via Slack,"Jira Software, Slack",7,null
Generate a Google service account credential,"Google, Tines",7,Aaron Sandow
Send interactive messages in Slack,"Jira Software, Slack",26,null
Analyze a hash in VirusTotal,VirusTotal,15,Michael Tolan
Triage Elastic Security alerts and block malicious IPs,"Elastic, Google, GreyNoise",17,null
Explore loop examples,null,8,Emily Nguyen
Introduction to Tines,null,10,null
Get new advisories from CISA,Slack,7,null
Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Find & remediate publicly exposed S3 buckets with Wiz,"AWS, Jira Software, Slack, Wiz",13,null
Add a new user in Microsoft Entra ID,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",6,Michael Tolan
Identify and remediate malicious SentinelOne threats with VirusTotal,"Jira Software, SentinelOne, VirusTotal",40,null
Analyze SMS messages for scams using OCR and AI,OCRSpace,12,null
Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,"Automox, CrowdStrike, Jira Software",26,null
Display data in a table and provide a download option,null,6,Conor Dunne
Query various Mimecast endpoints,Mimecast,16,null
Search & update notable status in Splunk Enterprise Security,Splunk,11,Tines
Offboard employees using BambooHR,"BambooHR, Google, Okta, Slack",18,null
Analyse an IP address,"Shodan, VirusTotal",5,Conor Dunne
Handle Code42 alerts,"Code42, Jira Software, Slack",12,null
"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"CrowdStrike, Jira Software, Microsoft, Microsoft Teams",12,null
Create an IP enrichment API,"GreyNoise, Pulsedive, VirusTotal",6,null
Bulk search Have I Been Pwned,Have I Been Pwned,16,Michael Tolan
Grant temporary application access,"Jira Software, Okta, Slack, Tines",30,Shaun Finn
Analyze suspicious email contents with ChatGPT Vision,OpenAI,5,null
Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
Onboard employees & grant specialized access to specific tools,"GitHub, Google, Zoom",21,null
Investigate & remediate Lacework alerts,"AWS, Jira Software, Lacework",25,null
Analyze and manage phishing alerts with KnowBe4 PhishER and Talos,Knowbe4,23,null
Query Log Analytics for Azure Sentinel alerts,"Microsoft, Microsoft Azure",5,null
Investigate unresolved SentinelOne threats,"Jira Software, SentinelOne",5,null
Check CrowdStrike agent is installed on new devices provisioned,"CrowdStrike, Qualys, ServiceNow, Slack",18,Shaun Finn
Normalize alerts from multiple sources using ChatGPT,"CrowdStrike, Elastic, Lacework, OpenAI",16,null
Search Elastic data sets and display results,Elastic,5,null
Facilitate & approve user requests to specific tools,null,17,null
Fetch & manage Microsoft Defender alerts,"Jira Software, Microsoft",5,null
Detect and remediate malware issues in Wiz with SentinelOne,"AWS, Jira Software, SentinelOne, Wiz",21,null
Read forwarded phishing emails and attachments,EmailRep,5,null
Normalize alerts with Tines AI and create Cases,null,11,Michael Tolan
Create & manage incident communications with Slack and Jira,"Jira Software, Slack",59,Rosie Halpin
Analyze IPs & search for indicators of compromise,"Criminal IP, Jira Software, URLScan.io",29,null
Contain a registered device with CrowdStrike,"CrowdStrike, Jira Software, Slack",10,null
Analyze vulnerabilities from Tenable workbench,"GreyNoise, Jira Software, Slack, Tenable Vulnerability Management",25,null
Bootcamp - Tines Pages and Applications,null,12,null
Send an IOC to Recorded Future for analysis,Recorded Future,21,Michael Tolan
Explore Tines Cases with provided sample data,Tines,22,null
Send an Okta MFA challenge via a Tines page,"Okta, Slack",34,null
Analyze phishing emails with Recorded Future,Recorded Future,36,null
"Disable accounts in Google Workspace, GitHub, and Okta","GitHub, Google, Jira Software, Okta",23,Aaron Sandow
Describe a Tines Story with Tines AI,Tines,6,Michael Tolan
Create GitHub Issues from Elastic SIEM alerts,"Elastic, GitHub",6,null
Check if new AWS GuardDuty findings are malicious,"Amazon GuardDuty, AWS, Jira Software, URLScan.io",27,null
Search and delete spam in an Office 365 mailbox,Microsoft,10,null
Monitor action failures in Tines and notify via Slack,"Slack, Tines",14,Michael Tolan
Add URLhaus URLS to Cisco Umbrella deny list,"Abuse.ch, Cisco",5,null
Correlate & alert on failed login attempts in Okta via Slack,"Okta, Slack",8,null
Use AI to create cases and act on CrowdStrike alerts,"CrowdStrike, Okta, PagerDuty, Zscaler",87,Conor Dunne
Enrich & remediate suspicious logins reported in Okta,"AbuseIPDB, Okta, Slack, VirusTotal",14,Derek Wohlfahrt
Perform threat hunting with SentinelOne Deep Visibility,SentinelOne,27,Conor Dunne
Send a message to user in Microsoft Teams,"Microsoft, Microsoft Teams",17,null
Detect secrets and sensitive data shared in Slack,Slack,15,Nick Page
Kill an active process in CrowdStrike,CrowdStrike,21,Conor Dunne
Disable accounts in Microsoft Entra ID,"Jira Software, Microsoft Azure",14,null
Isolate a host protected by Elastic Endpoint,Elastic,11,Conor Dunne
Add CrowdStrike Spotlight vulnerability evidence to Drata,"CrowdStrike, Drata",16,null
Get weather for a location,null,3,null
Tag Tines cases using MITRE ATT&CK techniques and tactics,MITRE,13,Conor Dunne
Analyze and triage suspicious emails across tools and Tines cases,"CrowdStrike, EmailRep, Tines, URLScan.io, VirusTotal",65,Michael Tolan
Manage alerts from Microsoft Defender Cloud,"Microsoft, Microsoft Teams",39,null
Send a prompt to a Slack channel or user & take action,Slack,13,Lasse Høgsholt
Common data filtering examples,null,8,null
Analyze domains via slash command in Microsoft Teams,"Microsoft Teams, VirusTotal",10,null
Add a user to Okta,Okta,10,null
Analyze files in Joe Sandbox,null,25,Troy Wegner
Check URL in CheckPhish,"Bolster AI, CheckPhish.ai",7,null
Build a counter in Tines,null,6,null
Triage new alerts in Google Alert Center with human oversight,"Google, Jira Software, Slack",19,null
Invalidate user's password in Azure Active Directory,"Microsoft, Microsoft Azure",9,null
Manage CrowdStrike IOCs in Slack,"CrowdStrike, Slack",38,null
Verify CrowdStrike is present on new devices in Jamf,"CrowdStrike, Jamf Pro, Slack",9,Conor Dunne
"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
Check IP addresses in Panther & send results via Slack,"AbuseIPDB, Panther, Slack",20,Eoin Magner
Pull IOCs from Malware Traffic Analysis,Malware Traffic Analysis,14,null
Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,"Okta, Slack",25,null
Move Google Docs and Calendar to another user in Google Workspace,Google,17,null
Submit prompts to Tines AI and get results,null,3,Michael Tolan
Draft or send an email,null,6,null
Start conversations with ChatGPT in Slack,"OpenAI, Slack",12,null
"Detect, log and remediate AWS alerts with Orca Security and Jira","AWS, Jira Software, Orca Security, Slack",21,null
Invalidate authentication sessions for a user in Azure Entra ID,"Microsoft, Microsoft Azure",17,Michael Tolan
Detect and Block Bucket Public Access Policy with Cyera.io and AWS,"AWS, Cyera, Jira Software",11,null
Take action on Azure Sentinel alerts depending on severity level,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",30,Shaun Finn
Query Elasticsearch and page through results,Elastic,15,null
Respond to approve and deny requests via Slack,Slack,7,null
Crowdsource suspicious logins and suspend accounts,"GreyNoise, Jira Software, OneLogin, PagerDuty, Slack",16,null
Pull a Python Script from Github to execute in Tines,GitHub,6,null
Track Snyk issues in Jira,"Jira Software, Snyk",16,null
Submit URL for analysis via Slackbot and return screenshot of results,"Slack, URLScan.io, VirusTotal",9,null
Ingest Tines audit logs into AWS S3 Bucket,AWS,7,null
Build ServiceNow API requests in Tines,ServiceNow,20,Conor Dunne
Make a query in Sumo Logic,Sumo Logic,9,null
Request URLs to be added to Zscaler Allowlist,"URLScan.io, Zscaler",13,null
Incident Management with Slack and Tines Cases,Slack,90,null
Investigate and enrich suspicious Office 365 login Elastic alerts,"Elastic, Microsoft",20,null
Monitor US-CERT for IOCs and block dynamically,VirusTotal,14,null
Document Tines stories in Atlassian Confluence,"Confluence, Slack",72,Tyler Talaga
Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
Filter Hunters alerts by risk level and create cases via Slack,"Hunters SOC Platform, Jira Software, Slack",8,null
Use Analyst1 threat intelligence in Sublime Security,"Analyst1, Sublime Security",39,null
Search for Jamf assets using Tines Pages,Jamf Pro,9,null
Identify false positive alerts from Elastic using a database in Notion,"Elastic, Notion",11,Michael Tolan
Send Wiz alerts to Slack and raise issues in Jira,"Jira Software, Slack, Wiz",22,null
Search IOCs on webpages in VirusTotal and Circl CVE,VirusTotal,45,Conor Dunne
Receive alerts for public S3 buckets & make private,"AWS, Slack",12,null
Track AWS GuardDuty alerts in Jira and remediate,"Amazon GuardDuty, AWS, Jira Software",18,null
Analyze a URL with URLScan,URLScan.io,17,Michael Tolan
Search for & remediate public AWS S3 buckets with JupiterOne,"AWS, Jira Software, JupiterOne",10,null
Analyze IOCs in Pulsedive,Pulsedive,19,Michael Tolan
Email an on-call engineer with PagerDuty,"PagerDuty, Slack",21,null
Elastic SIEM to Slack alert enrichment,"Elastic, Slack, Tines",106,Aaron Jewitt
Run & track vulnerability scans with Orca Security,"Jira Software, Orca Security",12,null
Fetch recent news and post to Bluesky Social with article links,null,4,null
Retrieve and remediate Cyera issues,"Cyera, Microsoft, Microsoft Azure, Microsoft OneDrive",45,Monolithic Power Systems
Discover and monitor unmanaged devices using Axonius,"Axonius, Jira Software, Shodan",10,null
Monitor and deactivate long-lasting AWS IAM keys,AWS,12,Michael Tolan
Report and lock lost devices in Jamf,"Duo Security, Jamf Pro, Jira Software",14,Conor Dunne
Create unique ServiceNow tickets from Splunk alerts,"ServiceNow, Splunk",19,null
Retrieve files from devices in CrowdStrike,"CrowdStrike, VirusTotal",47,Conor Dunne
Send out-of-office replies in Slack,Slack,6,null
Add alert evidence from Armis to Drata controls,"Armis, Drata",8,null
Detonate files with Recorded Future Sandbox,"Jira Software, Recorded Future",17,null
Block scanning IPs with Palo Alto external dynamic list,GreyNoise,6,null
Investigate EDR alerts from Carbon Black,"Jira Software, PagerDuty, VirusTotal",11,Shaun Finn
Streamline macOS software updates with self-service patch management,Jamf Pro,57,Tyler Talaga
Create new Azure AD users via a form,"Jira Software, Microsoft, Microsoft Azure",10,Shaun Finn
Enrich Microsoft security update CVEs with Recorded Future,"Microsoft, Recorded Future",18,Derek Wohlfahrt
Send an MFA push challenge to an Okta user on-demand,"Okta, Slack",11,null
Check if host is active in CrowdStrike and take action,"CrowdStrike, Slack",14,null
Add completed security training evidence to Drata,Drata,7,null
Send Tines case notifications to subscribers in Slack or Teams,"Microsoft Teams, Slack, Tines",26,Michael Tolan
Manage CrowdStrike detections using Pages,CrowdStrike,19,Conor Dunne
Deactivate stale AWS access keys discovered by Wiz,"AWS, ServiceNow, Slack, Wiz",17,Derek Wohlfahrt
Check mailboxes for external autoforward rules and filters in Google Workspace,Google,28,null
Authenticate to Microsoft Graph through multiple user identities with Tines Pages,Microsoft,8,Matthew
Reset a user's password and active sessions in Okta,Okta,9,Michael Tolan
Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,"Microsoft Teams, Splunk, VirusTotal",18,null
Create just-in-time access requests and manage users,Tines,33,null
Flip a coin,null,6,null
Chat with AWS Bedrock in Slack threads,"AWS, Slack",10,Michael Tolan
Report on inactive Okta accounts using Tines cases and deactivate,Okta,19,null
Manage GitHub pull requests via Slack,"GitHub, Slack",14,Conor Dunne
Retrieve Proofpoint events and log issues in Jira,"EmailRep, Jira Software, Proofpoint, URLScan.io, VirusTotal",11,Michael Tolan
Ingest Tines audit logs into Datadog,"DataDog, Tines",7,Aron Day
Review Azure Activity Reports for inactive user and licenses,"Microsoft, Microsoft Azure",12,Conor Dunne
Analyze vulnerabilities from JupiterOne by source account,"Jira Software, JupiterOne, Slack",12,null
Create issues in GitHub and Jira from findings in Semgrep,"GitHub, Jira Software, Semgrep",20,Conor Dunne
Check arrays for common elements using formulas,null,17,null
Manage Qualys EC2 vulnerabilities in Jira,"Jira Software, Qualys",25,null
Advanced Live Response tool for Microsoft Defender powered by Tines pages,Microsoft Defender,112,Horia Todoran
Run commands and scripts with Tines,null,9,null
Run a query in Snowflake,"Slack, Snowflake, VirusTotal, Zendesk",5,null
Query Snyk & gather a vulnerability report,"Jira Software, Snyk",13,null
Block suspicious IPs by creating firewall rule groups with CrowdStrike,"CrowdStrike, Slack",17,null
Add IOCs from Pulsedive to Azure Sentinel,"Microsoft Azure, Pulsedive",5,null
Analyze open issues in Wiz with ChatGPT,"OpenAI, Wiz",12,null
Analyze phishing emails with Material Security,Material Security,32,null
Create Jira issues for new alerts from Google Alert Center,"Google, Jira Software",8,null
Initiate CrowdStrike RTR memory dump,CrowdStrike,17,null
Manage held queue messages in Mimecast,"Mimecast, Slack",19,null
Approve user access to Okta or Office 365 using Pages,"Jira Software, Microsoft, Okta, Slack",44,null
Add devices in Kandji to Google Sheets,"Google, Kandji",7,Michael Tolan
Triage email attachments with Material Security,"Material Security, VirusTotal",13,null
Implement data loss prevention policies,"Google, Panther, Slack",35,null
Create a contact form using Tines Cases and Records,null,4,null
Submit and analyze PDF for IOCs with Tines,"IOC Parser, Tines",14,Michael Tolan
Receive enriched IP information via Slack,"AbuseIPDB, GreyNoise, Slack, VirusTotal",6,Aaron Sandow
Triage Slack help desk queries,"Jira Software, Slack",28,null
Analyze SMS phishing with the AI action,"MISP, Slack, URLScan.io, VirusTotal",33,Michael Fischler
Monitor application access changes in Okta,Okta,18,Michael Tolan
Remediate PagerDuty alerts,"GreyNoise, PagerDuty",23,null
Verify a user using Slack and Okta verify,"Okta, Slack",27,null
Analyze vulnerabilities from JupiterOne by severity,"Jira Software, JupiterOne, Slack",30,null
Create Zendesk Ticket via Google Forms,"Google, Zendesk",8,null
Hunt IP addresses in GreyNoise,GreyNoise,11,null
"Handle, enrich and notify teams of new Qualys alerts","Jira Software, Qualys, Slack",20,null
Manage departing employee watchlists in Code42,Code42,12,null
Create Tines Cases from Elastic Common Schema,Elastic,21,Conor Dunne
Move security logs from Google Workspace to Elastic Security,"Elastic, Google",4,null
Import Story backups from GitHub to Tines,GitHub,43,null
"Retrieve user, device, and vulnerability data in Axonius","Axonius, Tines",29,null
Investigate & remediate critical container vulnerabilities in Aqua Security Cloud Workload Protection Platform,"Aqua Security, Jira Software",24,null
Geolocate IP addresses,null,5,Michael Tolan
Monitor large downloads by employees in Netskope and create Jira issues,"Jira Software, Netskope",11,Michael Tolan
Generate new vulnerability scan reports with Qualys,Qualys,15,null
Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",27,null
Close CrowdStrike detections when ServiceNow incidents are resolved,"CrowdStrike, ServiceNow",4,Conor Dunne
Gather & add correlated searches in Splunk Enterprise Security to Drata,"Drata, Splunk",14,null
Upload compliance evidence to Drata,Drata,14,null
Determine severity of LimaCharlie detections and triage,"Jira Software, LimaCharlie, Slack",21,null
Generate MITRE ATT&CK Navigator layout from Tines cases,MITRE,9,Conor Dunne
Analyze malware with Intezer using pages,Intezer Analyze,10,Conor Dunne
Search and view Indicators of Compromise from MISP events,MISP,12,Conor Dunne
Save Tines Story in AWS S3,AWS,5,null
Interact with a device controlled by VMware Carbon Black,null,17,null
Utilize Tines prompts in Slack without opening a new browser tab,"Slack, Tines",8,null
Manage indicators of compromise in SentinelOne with Tines pages,SentinelOne,15,Conor Dunne
Create on-call Slack channels using OpsGenie groups,"OpsGenie, Slack",10,null
Generate a CrowdStrike RFM Report with AI,CrowdStrike,24,Tom Power
Handle GitHub notifications and notify Slack,"GitHub, Slack",17,null
Using the Microsoft Office 365 management API to view audit logs,Microsoft,9,null
Track & add background check evidence to ensure regulatory compliance in Drata,Drata,7,null
Tracking state in Tines Resources,null,6,null
Build a conditional counter loop,null,8,null
Send email and post contents to Slack,Slack,3,null
Cleanup inactive users in AWS IAM,"AWS, Jira Software",43,null
Dynamically set implode mode size,null,3,null
Convert structured JSON to HTML and send via email,null,5,null
Explode & implode data multiple times,null,9,null
Enrich a list of CVEs using Recorded Future via a form,Recorded Future,17,Derek Wohlfahrt
Search Google Sheets information via Slack,"Google Sheets, Slack",13,null
Distribute decision making using ChatOps,Slack,12,null
Delete an email from a specified user's mailbox,Microsoft,4,null
Retrieve & deduplicate Google Chronicle alerts,Google,5,null
Retrieve new alerts from Microsoft Defender and create issues in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",21,Michael Tolan
Assume a new AWS role and execute commands using Boto3,AWS,3,null
Filter results when using implode mode,null,19,John Tuckner
Monitor & respond to Slack queries from external users & respond using Zendesk,"Slack, Zendesk",80,Lasse Høgsholt
Provide compliance information after signing an MNDA in Docusign eSignature,"DocuSign, Slack",14,null
Enrich CrowdStrike incidents with VirusTotal & send to TheHive,"CrowdStrike, TheHive Project, VirusTotal",25,Conor Dunne
Look for & remediate new breaches using Recorded Future,"Jira Software, PagerDuty, Recorded Future",24,null
Create issues utilizing custom fields in Jira,Jira Software,5,null
Fetch recent cybersecurity news and post to LinkedIn,"LinkedIn, OpenAI",6,null
Export CrowdStrike detections to OneDrive as CSV,"CrowdStrike, Microsoft OneDrive",5,Michael Tolan
Make a query in Google BigQuery,Google,12,null
Examine a file in CrowdStrike FalconX Sandbox,CrowdStrike,15,null
"Activate holiday cheer with Shelly, Spotify, and Tines",Spotify,32,Colleen Gallagher
Analyze files with VMRay,"Microsoft, Microsoft Teams, Slack, VMRay",31,null
Receive and analyze emails with rules in Sublime Security,Sublime Security,13,null
Query AWS IAM users in groups,"AWS, Jira Software",5,Shaun Finn
Isolate machines in Microsoft Defender,Microsoft Defender,23,Conor Dunne
Organize new form responses in Google Sheets,"Google, Google Sheets",3,null
Create and update Tines Cases from questions in Slack,"Slack, Tines",72,Lasse Høgsholt
Create a survey with charts using Pages,QuickChart,8,null
Create a risk register using Tines records,Tines,12,Conor Dunne
Detect and alert performance issues in devices using Elastic and Slack,"Elastic, Slack",4,Tines
Search Splunk Enterprise logs,Splunk,13,Conor Dunne
"Extract, analyze, & enrich IPs from a WebEx chatbot","Cisco, Webex",7,null
Notify users of open tickets in TheHive,"Slack, TheHive Project",10,null
Search Okta logs for user or IP activity,Okta,12,Michael Tolan
"Hunt, contain, and escalate threats with Thinkst Canary",Thinkst Canary,31,null
Analyze a file in Hybrid Analysis,Hybrid Analysis,32,Martin Moroney
Create shift handover notes in Confluence and send reminders in Slack,"Confluence, Jira Software, Slack",13,Michael Tolan
Analyze GitHub pull requests for vulnerabilities with ChatGPT,"GitHub, OpenAI",5,null
Create and escalate Jira issues for GitHub Advanced Security findings,"GitHub, Jira Software, Slack",6,Conor Dunne
Monitor Azure AD MFA fraud alerts and track in Jira,Microsoft Azure,10,Nate Adams
Analyze potential SMS phishing attacks and raise incidents in Jira,"OCRSpace, OpenAI, PagerDuty",22,Rajesh Kumar
Retrieve vulnerabilities from SonarCloud and suggest code fixes in GitHub,"GitHub, OpenAI, SonarCloud",13,Conor Dunne
Trigger offboarding in Grip Security,Grip Security,8,null
Create Tines story documentation using ChatGPT and store in Notion,OpenAI,10,null
Add host vulnerabilities in Lacework to Drata controls,"Drata, Lacework",8,null
Conduct IP address search using Cribl,Cribl,14,Igor Gifrin
Export Tines records to OneDrive,"Microsoft OneDrive, Tines",4,Michael Tolan
Sync assets between Kandji and runZero while updating ownership,"Kandji, runZero",18,null
Search Jira for open SLA breaches,Jira Software,22,Nick Page
Case Lifecycle Management,null,33,Brandon Maxwell
Receive Azure Sentinel alerts and block IPs with firewall rules,"Microsoft, Microsoft Azure",15,Conor Dunne
Remediate compliance violations with Lacework,"AWS, Lacework, Slack",12,null
Receive & remediate SNS notifications from AWS Config,"AWS, Jira Software",43,Shaun Finn
Enrich SentinelOne alerts with Stairwell Inception,"SentinelOne, Stairwell",19,null
Extract text from a PDF or image with AWS Textract,AWS,38,null
Query for & protect emails in Material Security,Material Security,24,null
Run a simulated phishing attack,"BambooHR, GitHub, Tines",22,Conor Dunne
Find and reboot devices with failed Microsoft Intune updates,"Microsoft, Microsoft Azure",6,Conor Dunne
Submit indicators of compromise to CrowdStrike's watchlist,CrowdStrike,53,null
Transform alerts to the OCSF format using ChatGPT and create a case,OpenAI,14,Tines
Get fun quotes from TV shows like The Simpsons and The Office,null,7,null
Enrich & remediate suspicious logins reported in Okta using Cases & Records,Okta,56,Sam Olson
Lookup a host in CrowdStrike,CrowdStrike,12,null
Backup Tines stories to Google Cloud Storage,"Google, Google Cloud Storage",24,Michael Tolan
Send multifactor push prompt in Azure Entra ID,Microsoft,20,Nathan Collings
Add JA3 client blocklist from Abuse.ch to AWS firewall rule,"Abuse.ch, AWS",17,null
Create GitHub issues from Sumo Logic alerts,"GitHub, Sumo Logic",10,null
Search for IOCs in MISP default feeds,MISP,8,Sif Baksh
Interact with a site with Browserless,Browserless,23,Michael Tolan
Transfer cases between Tines case groups based on criteria,Tines,28,Michael Tolan
Complete PDF forms in DocSpring using Tines pages,DocSpring,23,Conor Dunne
Capture product feedback and post it to Slack,"Slack, Tines",23,Tines
Send Bulk Updates To Salesforce,Salesforce,12,null
Retrieve software vulnerabilities from Fleet for a given host,Fleet,6,Dave Herder
Retrieve a file from a CrowdStrike endpoint,CrowdStrike,24,Conor Dunne
Analyze attack surface for an organization with Criminal IP,"Criminal IP, Tines",22,null
Monitor Tines audit logs for action changes and send Slack alerts,"Slack, Tines",7,null
Using Records to improve story performance in Tines,Elastic,51,null
